ind,synbiohub_uri,igem_link,team_name
122,https://synbiohub.org/public/igem/BBa_K1438029/1,http://parts.igem.org/Part:BBa_K1438029,iGEM14_Berlin
123,https://synbiohub.org/public/igem/BBa_K1438030/1,http://parts.igem.org/Part:BBa_K1438030,iGEM14_Berlin
124,https://synbiohub.org/public/igem/BBa_K1362161/1,http://parts.igem.org/Part:BBa_K1362161,iGEM14_Heidelberg
125,https://synbiohub.org/public/igem/BBa_K1462090/1,http://parts.igem.org/Part:BBa_K1462090,iGEM14_SCUT
126,https://synbiohub.org/public/igem/BBa_K1362166/1,http://parts.igem.org/Part:BBa_K1362166,iGEM14_Heidelberg
127,https://synbiohub.org/public/igem/BBa_K1462120/1,http://parts.igem.org/Part:BBa_K1462120,iGEM14_SCUT
128,https://synbiohub.org/public/igem/BBa_K1462220/1,http://parts.igem.org/Part:BBa_K1462220,iGEM14_SCUT
129,https://synbiohub.org/public/igem/BBa_K1362167/1,http://parts.igem.org/Part:BBa_K1362167,iGEM14_Heidelberg
130,https://synbiohub.org/public/igem/BBa_K1462130/1,http://parts.igem.org/Part:BBa_K1462130,iGEM14_SCUT
131,https://synbiohub.org/public/igem/BBa_K1462150/1,http://parts.igem.org/Part:BBa_K1462150,iGEM14_SCUT
132,https://synbiohub.org/public/igem/BBa_K1462250/1,http://parts.igem.org/Part:BBa_K1462250,iGEM14_SCUT
133,https://synbiohub.org/public/igem/BBa_K1366000/1,http://parts.igem.org/Part:BBa_K1366000,iGEM14_Tec-Monterrey
134,https://synbiohub.org/public/igem/BBa_K1438031/1,http://parts.igem.org/Part:BBa_K1438031,iGEM14_Berlin
135,https://synbiohub.org/public/igem/BBa_K1462110/1,http://parts.igem.org/Part:BBa_K1462110,iGEM14_SCUT
136,https://synbiohub.org/public/igem/BBa_K1510930/1,http://parts.igem.org/Part:BBa_K1510930,iGEM14_NYMU-Taipei
137,https://synbiohub.org/public/igem/BBa_K1366001/1,http://parts.igem.org/Part:BBa_K1366001,iGEM14_Tec-Monterrey
138,https://synbiohub.org/public/igem/BBa_K1362475/1,http://parts.igem.org/Part:BBa_K1362475,iGEM14_Heidelberg
139,https://synbiohub.org/public/igem/BBa_K1438032/1,http://parts.igem.org/Part:BBa_K1438032,iGEM14_Berlin
140,https://synbiohub.org/public/igem/BBa_K1510931/1,http://parts.igem.org/Part:BBa_K1510931,iGEM14_NYMU-Taipei
141,https://synbiohub.org/public/igem/BBa_K1366003/1,http://parts.igem.org/Part:BBa_K1366003,iGEM14_Tec-Monterrey
142,https://synbiohub.org/public/igem/BBa_K1366004/1,http://parts.igem.org/Part:BBa_K1366004,iGEM14_Tec-Monterrey
143,https://synbiohub.org/public/igem/BBa_K1366006/1,http://parts.igem.org/Part:BBa_K1366006,iGEM14_Tec-Monterrey
144,https://synbiohub.org/public/igem/BBa_K1366007/1,http://parts.igem.org/Part:BBa_K1366007,iGEM14_Tec-Monterrey
145,https://synbiohub.org/public/igem/BBa_K1481005/1,http://parts.igem.org/Part:BBa_K1481005,iGEM14_PoznanBioInf
146,https://synbiohub.org/public/igem/BBa_K1441012/1,http://parts.igem.org/Part:BBa_K1441012,iGEM14_Georgia_State
147,https://synbiohub.org/public/igem/BBa_K1481006/1,http://parts.igem.org/Part:BBa_K1481006,iGEM14_PoznanBioInf
148,https://synbiohub.org/public/igem/BBa_K1366101/1,http://parts.igem.org/Part:BBa_K1366101,iGEM14_Tec-Monterrey
