Spurious,Real
https://synbiohub.org/public/igem/BBa_I732998/1,https://synbiohub.org/public/igem/BBa_K1394000/1
https://synbiohub.org/public/igem/BBa_K377000/1,https://synbiohub.org/public/igem/BBa_K1919002/1
https://synbiohub.org/public/igem/BBa_J212101/1,https://synbiohub.org/public/igem/BBa_J119115/1
https://synbiohub.org/public/igem/BBa_K827035/1,https://synbiohub.org/public/igem/BBa_K1122666/1
https://synbiohub.org/public/igem/BBa_K1618040/1,https://synbiohub.org/public/igem/BBa_K364137/1
https://synbiohub.org/public/igem/BBa_K245024/1,https://synbiohub.org/public/igem/BBa_M11400/1
https://synbiohub.org/public/igem/BBa_J49001/1,https://synbiohub.org/public/igem/BBa_J70030/1
https://synbiohub.org/public/igem/BBa_K245126/1,https://synbiohub.org/public/igem/BBa_K1968016/1
https://synbiohub.org/public/igem/BBa_J33000/1,https://synbiohub.org/public/igem/BBa_K571003/1
https://synbiohub.org/public/igem/BBa_K827047/1,https://synbiohub.org/public/igem/BBa_K2014007/1
https://synbiohub.org/public/igem/BBa_K827072/1,https://synbiohub.org/public/igem/BBa_K187372/1
https://synbiohub.org/public/igem/BBa_J48102/1,https://synbiohub.org/public/igem/BBa_K187206/1
https://synbiohub.org/public/igem/BBa_K1182501/1,https://synbiohub.org/public/igem/BBa_K1934050/1
https://synbiohub.org/public/igem/BBa_K827001/1,https://synbiohub.org/public/igem/BBa_K1453403/1
https://synbiohub.org/public/igem/BBa_K805011/1,https://synbiohub.org/public/igem/BBa_K799000/1
https://synbiohub.org/public/igem/BBa_Y00009/1,https://synbiohub.org/public/igem/BBa_M1600/1
https://synbiohub.org/public/igem/BBa_K827055/1,https://synbiohub.org/public/igem/BBa_K1051103/1
https://synbiohub.org/public/igem/BBa_J33099/1,https://synbiohub.org/public/igem/BBa_K314011/1
https://synbiohub.org/public/igem/BBa_K1362414/1,https://synbiohub.org/public/igem/BBa_K611024/1
https://synbiohub.org/public/igem/BBa_K827074/1,https://synbiohub.org/public/igem/BBa_K1456026/1
https://synbiohub.org/public/igem/BBa_T2003/1,https://synbiohub.org/public/igem/BBa_K1156007/1
https://synbiohub.org/public/igem/BBa_K827063/1,https://synbiohub.org/public/igem/BBa_K277084/1
https://synbiohub.org/public/igem/BBa_K294060/1,https://synbiohub.org/public/igem/BBa_K511001/1
https://synbiohub.org/public/igem/BBa_K827016/1,https://synbiohub.org/public/igem/BBa_G1005/1
https://synbiohub.org/public/igem/BBa_K1614000/1,https://synbiohub.org/public/igem/BBa_K1705010/1
https://synbiohub.org/public/igem/BBa_K245123/1,https://synbiohub.org/public/igem/BBa_I750017/1
https://synbiohub.org/public/igem/BBa_J58100/1,https://synbiohub.org/public/igem/BBa_K555008/1
https://synbiohub.org/public/igem/BBa_K122014/1,https://synbiohub.org/public/igem/BBa_K1159103/1
https://synbiohub.org/public/igem/BBa_K2066544/1,https://synbiohub.org/public/igem/BBa_J06403/1
https://synbiohub.org/public/igem/BBa_J70014/1,https://synbiohub.org/public/igem/BBa_M50046/1
https://synbiohub.org/public/igem/BBa_J22051/1,https://synbiohub.org/public/igem/BBa_K106013/1
